순위,분,신,종목코드,종목명,현재가,전일대비,,등락률,매도잔량,매수잔량,거래량,체결강도,횟수,L일봉H
1,신,,'092870,엑시콘,"30,750",▲,"4,450",16.92,"61,500","41,785","13,269,071",95.47,1,26400 32350 26200 30750
2,신,,'140670,알에스오토메이션,"22,200",▲,"2,810",14.49,"60,916","24,511","11,364,709",96.13,4,20700 22750 19830 22200
58,신,,'080220,제주반도체,"25,900",▲,300,1.17,"33,478","79,999","4,635,254",98.12,1,26150 27200 25800 25900
20,신,,'054450,텔레칩스,"29,450",▲,"1,100",3.88,"31,005","44,756","3,949,795",68.63,1,32200 32400 29100 29450
3,신,,'031980,피에스케이홀딩스,"45,500",▲,"4,850",11.93,"11,290","6,890","1,906,596",132.9,1,41500 47200 40900 45500
6,신,,'079370,제우스,"20,350",▲,"1,590",8.48,"93,156","36,596","1,751,168",184.46,1,19000 20400 18670 20350
5,증,,'048410,현대바이오,"21,000",▲,"1,710",8.86,"22,147","25,383","1,699,931",129.9,1,19430 22250 19290 21000
7,증,,'228760,지노믹트리,"22,900",▲,"1,750",8.27,"17,019","21,343","1,383,476",118.38,1,21250 24450 21250 22900
23,,,'457550,우진엔텍,"26,600",▲,950,3.7,"11,284","22,111","1,112,455",103.6,3,24850 27050 24850 26600
39,신,,'033100,제룡전기,"33,200",▲,650,2,"15,369","3,868","1,092,774",80.54,1,32850 34900 32250 33200
